_time,Description,CycleState,I_R01_Gripper_Load,I_R01_Gripper_Pot,I_R02_Gripper_Load,I_R02_Gripper_Pot,I_R03_Gripper_Load,I_R03_Gripper_Pot
2023-12-11T20:00:14.743Z,"NoNose,NoBody2",4,288,11225,1303,11629,1384,2394
2023-12-11T20:00:14.849Z,"NoNose,NoBody2",4,430,11192,1296,11682,1367,2399
2023-12-11T20:00:14.946Z,"NoNose,NoBody2",4,426,11259,1338,11675,1364,2397
2023-12-11T20:00:15.181Z,"NoNose,NoBody2",4,240,11264,1287,11679,1353,2396
2023-12-11T20:00:15.182Z,"NoNose,NoBody2",4,424,11256,1289,11687,1365,2401
2023-12-11T20:00:15.247Z,"NoNose,NoBody2",4,427,11238,1299,11685,1327,2405
2023-12-11T20:00:15.357Z,"NoNose,NoBody2",4,440,11251,1318,11648,1357,2389
2023-12-11T20:00:15.448Z,"NoNose,NoBody2",4,455,11208,1317,11710,1370,2406
2023-12-11T20:00:15.549Z,"NoNose,NoBody2",4,344,11249,1288,11726,1373,2411
2023-12-11T20:00:15.646Z,"NoNose,NoBody2",4,446,11191,1305,11647,1373,2396
2023-12-11T20:00:15.741Z,"NoNose,NoBody2",4,346,11187,1306,11704,1344,2406
2023-12-11T20:00:15.846Z,"NoNose,NoBody2",4,410,11229,1276,11682,1340,2397
2023-12-11T20:00:15.944Z,"NoNose,NoBody2",4,447,11223,1349,11699,1385,2404
2023-12-11T20:00:16.133Z,"NoNose,NoBody2",4,361,11207,1310,11682,1344,2403
2023-12-11T20:00:16.139Z,"NoNose,NoBody2",4,344,11177,1341,11693,1357,2408
2023-12-11T20:00:16.244Z,"NoNose,NoBody2",4,358,11188,1311,11636,1367,2397
2023-12-11T20:00:16.337Z,"NoNose,NoBody2",4,435,11394,1307,11652,1356,2396
2023-12-11T20:00:16.449Z,"NoNose,NoBody2",4,441,11243,1313,11673,1361,2397
2023-12-11T20:00:16.540Z,"NoNose,NoBody2",4,423,11256,1310,11686,1391,2402
2023-12-11T20:00:16.640Z,"NoNose,NoBody2",4,342,11118,1337,11702,1407,2402
2023-12-11T20:00:16.755Z,"NoNose,NoBody2",4,482,11299,1321,11693,1366,2401
2023-12-11T20:00:17.045Z,"NoNose,NoBody2",4,483,11182,1331,11627,1370,2397
2023-12-11T20:00:17.046Z,"NoNose,NoBody2",4,464,11254,1302,11628,1377,2396
2023-12-11T20:00:17.288Z,"NoNose,NoBody2",4,462,11223,1300,11708,1343,2398
2023-12-11T20:00:17.289Z,"NoNose,NoBody2",4,504,11204,1315,11689,1378,2401
2023-12-11T20:00:17.291Z,"NoNose,NoBody2",4,333,11207,1267,11637,1367,2399
2023-12-11T20:00:17.347Z,"NoNose,NoBody2",4,384,10901,1322,11676,1346,2401
2023-12-11T20:00:17.460Z,"NoNose,NoBody2",4,432,11228,1292,11645,1361,2396
2023-12-11T20:00:17.552Z,"NoNose,NoBody2",4,341,11242,1295,11709,1379,2407
2023-12-11T20:00:17.656Z,"NoNose,NoBody2",4,487,11272,1314,11731,1376,2419
2023-12-11T20:00:17.748Z,"NoNose,NoBody2",4,437,11235,1323,11735,1357,2407
2023-12-11T20:00:17.867Z,"NoNose,NoBody2",4,492,11233,1293,11677,1363,2402
2023-12-11T20:00:17.959Z,"NoNose,NoBody2",4,430,11224,1297,11636,1370,2391
2023-12-11T20:00:18.176Z,"NoNose,NoBody2",4,459,11186,1275,11692,1369,2409
2023-12-11T20:00:18.178Z,"NoNose,NoBody2",4,460,11180,1311,11644,1380,2396
2023-12-11T20:00:18.252Z,"NoNose,NoBody2",4,496,11263,1306,11625,1365,2402
2023-12-11T20:00:18.347Z,"NoNose,NoBody2",4,362,11233,1320,11660,1360,2398
2023-12-11T20:00:18.445Z,"NoNose,NoBody2",4,530,11233,1286,11673,1363,2415
2023-12-11T20:00:18.547Z,"NoNose,NoBody2",4,479,11251,1311,11652,1358,2403
2023-12-11T20:00:18.639Z,"NoNose,NoBody2",4,488,11256,1321,11694,1369,2386
2023-12-11T20:00:18.747Z,"NoNose,NoBody2",4,365,11321,1310,11715,1370,2409
2023-12-11T20:00:18.856Z,"NoNose,NoBody2",4,395,11214,1303,11609,1380,2389
2023-12-11T20:00:18.949Z,"NoNose,NoBody2",4,107,11088,1239,11657,1379,2400
2023-12-11T20:00:19.146Z,"NoNose,NoBody2",4,457,11314,1316,11660,1382,2395
2023-12-11T20:00:19.148Z,"NoNose,NoBody2",4,459,11214,1307,11708,1375,2407
2023-12-11T20:00:19.248Z,"NoNose,NoBody2",4,423,11187,1283,11679,1365,2394
2023-12-11T20:00:19.339Z,"NoNose,NoBody2",4,378,11209,1315,11634,1379,2397
2023-12-11T20:00:19.461Z,"NoNose,NoBody2",4,479,11258,1322,11720,1362,2414
2023-12-11T20:00:19.568Z,"NoNose,NoBody2",4,507,11225,1280,11663,1374,2397
2023-12-11T20:00:19.641Z,"NoNose,NoBody2",4,436,11195,1283,11698,1366,2405
2023-12-11T20:00:19.746Z,"NoNose,NoBody2",4,423,11201,1323,11674,1364,2402
2023-12-11T20:00:19.848Z,"NoNose,NoBody2",4,382,11206,1310,11611,1362,2394
2023-12-11T20:00:19.937Z,"NoNose,NoBody2",4,482,11209,1320,11637,1359,2399
2023-12-11T20:00:20.136Z,"NoNose,NoBody2",4,510,11259,1342,11708,1343,2406
2023-12-11T20:00:20.156Z,"NoNose,NoBody2",4,415,11208,1310,11638,1353,2392
2023-12-11T20:00:20.249Z,"NoNose,NoBody2",4,435,11198,1316,11638,1375,2388
2023-12-11T20:00:20.358Z,"NoNose,NoBody2",4,451,11232,1303,11719,1376,2403
2023-12-11T20:00:20.451Z,"NoNose,NoBody2",4,442,11232,1315,11674,1393,2404
2023-12-11T20:00:20.562Z,"NoNose,NoBody2",4,467,11274,1314,11690,1360,2401
2023-12-11T20:00:20.652Z,"NoNose,NoBody2",4,431,11226,1297,11661,1360,2394
2023-12-11T20:00:20.749Z,"NoNose,NoBody2",4,433,11242,1340,11623,1399,2392
2023-12-11T20:00:20.868Z,"NoNose,NoBody2",4,226,10878,1287,11683,1365,2403
2023-12-11T20:00:20.953Z,"NoNose,NoBody2",4,467,11212,1332,11631,1359,2391
2023-12-11T20:00:21.199Z,"NoNose,NoBody2",4,414,11193,1314,11635,1374,2395
2023-12-11T20:00:21.201Z,"NoNose,NoBody2",4,466,11221,1303,11667,1398,2392
2023-12-11T20:00:21.237Z,"NoNose,NoBody2",4,461,11243,1302,11622,1363,2390
2023-12-11T20:00:21.345Z,"NoNose,NoBody2",4,584,11259,1308,11653,1364,2402
2023-12-11T20:00:21.450Z,"NoNose,NoBody2",4,490,11272,1295,11717,1366,2401
2023-12-11T20:00:21.547Z,"NoNose,NoBody2",4,485,11210,1307,11661,1370,2402
2023-12-11T20:00:21.650Z,"NoNose,NoBody2",4,419,11289,1304,11685,1383,2404
2023-12-11T20:00:21.743Z,"NoNose,NoBody2",4,420,11213,1346,11721,1357,2410
2023-12-11T20:00:21.845Z,"NoNose,NoBody2",4,403,11191,1313,11634,1372,2391
2023-12-11T20:00:21.961Z,"NoNose,NoBody2",4,447,11288,1347,11693,1373,2404
2023-12-11T20:00:22.155Z,"NoNose,NoBody2",4,437,11250,1311,11639,1361,2395
2023-12-11T20:00:22.156Z,"NoNose,NoBody2",4,478,11279,1290,11692,1369,2406
2023-12-11T20:00:22.250Z,"NoNose,NoBody2",4,359,11265,1316,11595,1377,2394
2023-12-11T20:00:22.339Z,"NoNose,NoBody2",4,461,11237,1296,11699,1376,2403
2023-12-11T20:00:22.459Z,"NoNose,NoBody2",4,455,11244,1338,11691,1338,2409
2023-12-11T20:00:22.555Z,"NoNose,NoBody2",4,435,11434,1289,11707,1372,2413
2023-12-11T20:00:22.641Z,"NoNose,NoBody2",4,423,11267,1280,11634,1364,2393
2023-12-11T20:00:22.739Z,"NoNose,NoBody2",4,403,11187,1248,11709,1378,2404
2023-12-11T20:00:22.860Z,"NoNose,NoBody2",4,479,11231,1300,11620,1372,2380
2023-12-11T20:00:22.935Z,"NoNose,NoBody2",4,427,11293,1290,11591,1364,2390
2023-12-11T20:00:23.141Z,"NoNose,NoBody2",4,411,11244,1280,11647,1360,2400
2023-12-11T20:00:23.154Z,"NoNose,NoBody2",4,428,11247,1315,11633,1353,2394
2023-12-11T20:00:23.252Z,"NoNose,NoBody2",4,397,11256,1307,11620,1376,2403
2023-12-11T20:00:23.337Z,"NoNose,NoBody2",4,380,11210,1305,11633,1389,2395
2023-12-11T20:00:23.436Z,"NoNose,NoBody2",4,433,11216,1302,11693,1365,2406
2023-12-11T20:00:23.545Z,"NoNose,NoBody2",4,487,11184,1329,11662,1369,2401
2023-12-11T20:00:23.656Z,"NoNose,NoBody2",4,462,11217,1306,11665,1357,2401
2023-12-11T20:00:23.742Z,"NoNose,NoBody2",4,349,11578,1294,11679,1367,2405
2023-12-11T20:00:23.841Z,"NoNose,NoBody2",4,437,11267,1306,11710,1355,2408
2023-12-11T20:00:23.957Z,"NoNose,NoBody2",4,462,11237,1307,11697,1368,2414
2023-12-11T20:00:24.163Z,"NoNose,NoBody2",4,374,11255,1305,11688,1359,2402
2023-12-11T20:00:24.165Z,"NoNose,NoBody2",4,432,11619,1320,11647,1393,2400
2023-12-11T20:00:24.253Z,"NoNose,NoBody2",4,462,11211,1280,6641,1347,2403
2023-12-11T20:00:24.350Z,"NoNose,NoBody2",4,396,10997,1306,6430,1385,2409
2023-12-11T20:00:24.463Z,"NoNose,NoBody2",4,523,11221,1301,6418,1373,2415
2023-12-11T20:00:24.550Z,"NoNose,NoBody2",4,511,11206,1299,6376,1370,2397
2023-12-11T20:00:24.649Z,"NoNose,NoBody2",4,469,11277,1294,6392,1377,2391
2023-12-11T20:00:24.746Z,"NoNose,NoBody2",4,339,11042,1295,6389,1348,2393
2023-12-11T20:00:24.847Z,"NoNose,NoBody2",4,450,11197,1298,6390,1370,2397
2023-12-11T20:00:24.937Z,"NoNose,NoBody2",4,446,11273,1300,6414,1362,2414
